Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Asus VivoBook Flip 14 AMD Ryzen 7 5700U 8GB DDR4 512GB SSD AMD Radeon Graphics 8 FHD WIN10 черный;91320 сом;"Ноутбук Asus VivoBook Flip 14 AMD Ryzen 7 5700U 8GB DDR4 512GB SSD AMD Radeon Graphics 8 FHD WIN10 черныйТип: ноутбук; Операционная система: Windows 10; Процессор: AMD Ryzen 7-5700U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics 8; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 1.5 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-flip-14-amd-ryzen-7-5700u-8gb-ddr4-512gb-ssd-amd-radeon-graphics-8-fhd-win10-chernyy
Ноутбук Lenovo Flex 5 14ITL05 Intel Core i7-1165G7 12GB DDR 512GB SSD FHD W10 Platinum Grey;95650 сом;"Ноутбук Lenovo Flex 5 14ITL05 Intel Core i7-1165G7 12GB DDR 512GB SSD FHD W10 Platinum GreyТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i7-1165G7; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.5 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-flex-5-14itl05-intel-core-i7-1165g7-12gb-ddr-512gb-ssd-fhd-w10-platinum-grey
Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 256GB SSD DOS Black;31120 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 256 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-4gb-ddr4-256gb-ssd-dos-black
Ноутбук Asus X515JA-BQ026 Intel Core i5-1035G1 8GB DDR4 512GB SSD Intel HD Graphics FHD DOS серый;58360 сом;"Ноутбук Asus X515JA-BQ026 Intel Core i5-1035G1 8GB DDR4 512GB SSD Intel HD Graphics FHD DOS серыйОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ja-bq026-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-intel-hd-graphics-fhd-dos-seryy
Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 256GB SSD DOS Black;33290 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-8gb-ddr4-256gb-ssd-dos-black
Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 512GB SSD DOS Black;34160 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-4gb-ddr4-512gb-ssd-dos-black
Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 512GB SSD DOS Black;35910 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-8gb-ddr4-512gb-ssd-dos-black
Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серый;49580 сом;"Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серыйОперационная система Windows 10 Home; 2х-ядерный процессор 2.4 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15-db1255ur-amd-athlon-300u-8gb-ddr4-256gb-ssd-radeon-530-w10-fhd-seryy
Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный;69640 сом;"Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черныйТип: ноутбук; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Nvidia GTX 1650 ; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1,8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-msi-thin-intel-core-i5-9300h-8gb-ddr4-8gb-ddr4-256gb-ssd-nvidia-gtx-1650-4gb-fhd-chernyy
Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черный;31810 сом;"Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.78 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-250-g7-1f3j3ea-acb-intel-celeron-n4020-4gb-ddr4-1000gb-hdd-intel-uhd-graphics-620-fhd-dos-chernyy
Ноутбук Dell Vostro 5501 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD Linux Gray;63570 сом;"Ноутбук Dell Vostro 5501 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD Linux GrayОперационная система Linux; 4х-ядерный процессор 1.0 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" MVA; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.64 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-vostro-5501-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-fhd-linux-gray
Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 Silver;77880 сом;"Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 SilverОперационная система Windows 10; 4х-ядерный процессор 1.6 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366х768; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.52 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-latitude-14-5410-intel-core-i5-10210u-8gb-ddr4-512gb-ssd-w10-silver
Ноутбук HP 255 G7 AMD Ryzen 5 3500U 8GB DDR4 256GB SSD AMD Radeon Vega 8 FHD;43040 сом;"Ноутбук HP 255 G7 AMD Ryzen 5 3500U 8GB DDR4 256GB SSD AMD Radeon Vega 8 FHDТип: ноутбук; Процессор: AMD Ryzen 5 3500U; Разрешение экрана: 1920х1080 FHD; Графический контроллер: AMD Radeon Vega 8; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1.78 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-255-g7-amd-ryzen-5-3500u-8gb-ddr4-256gb-ssd-amd-radeon-vega-8-fhd
Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 1000GB HDD AMD Radeon R4 FHD DVD DOS черный;33290 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 1000GB HDD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-8gb-ddr-1000gb-hdd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Lenovo V145-15AST AMD A6-9225 4GB DDR 128GB SSD AMD Radeon R4 FHD DVD DOS черный;30930 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 4GB DDR 128GB SSD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 128 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-4gb-ddr-128gb-ssd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 128GB SSD AMD Radeon R4 FHD DVD DOS черный;33550 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 128GB SSD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 128 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-8gb-ddr-128gb-ssd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Lenovo V145-15AST AMD A6-9225 4GB DDR 240GB SSD AMD Radeon R4 FHD DVD DOS черный;31550 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 4GB DDR 240GB SSD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 240 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-4gb-ddr-240gb-ssd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i7-10610U 16GB DDR3 512GB SSD Intel UHD Graphics 620 WQHD серый;194330 сом;"Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i7-10610U 16GB DDR3 512GB SSD Intel UHD Graphics 620 WQHD серыйТип: ноутбук; Процессор: Intel Core i7-10610U; Разрешение экрана: 2560x1440 WQHD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 16 Gb DDR3; Объем накопителя SSD: 512 Gb; Вес: от 1.36 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-thinkpad-x1-yoga-gen-5-intel-core-i7-10610u-16gb-ddr3-512gb-ssd-intel-uhd-graphics-620-wqhd-seryy
Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 240GB SSD AMD Radeon R4 FHD DVD DOS черный;34160 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 240GB SSD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 240 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-8gb-ddr-240gb-ssd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i5-10210U 8GB DDR3 256GB SSD Intel UHD Graphics 620 FHD серый;140620 сом;"Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i5-10210U 8GB DDR3 256GB SSD Intel UHD Graphics 620 FHD серыйТип: ноутбук; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 8 Gb DDR3; Объем накопителя SSD: 256 Gb; Вес: от 1.36 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-thinkpad-x1-yoga-gen-5-intel-core-i5-10210u-8gb-ddr3-256gb-ssd-intel-uhd-graphics-620-fhd-seryy
Ноутбук Lenovo V145-15AST AMD A6-9225 4GB DDR 480GB SSD AMD Radeon R4 FHD DVD DOS черный;33290 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 4GB DDR 480GB SSD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 480 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-4gb-ddr-480gb-ssd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 480GB SSD AMD Radeon R4 FHD DVD DOS черный;35910 сом;"Ноутбук Lenovo V145-15AST AMD A6-9225 8GB DDR 480GB SSD AMD Radeon R4 FHD DVD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD A6-9225; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon R4; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 480 Gb; Оптический привод: есть; Вес: от 2.19 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-v145-15ast-amd-a6-9225-8gb-ddr-480gb-ssd-amd-radeon-r4-fhd-dvd-dos-chernyy
Ноутбук Dell Latitude 14 3410 Intel Core i5-10210U 16GB DDR4 256GB SSD Intel UHD Graphics 620 FHD WIN10 серый;80920 сом;"Ноутбук Dell Latitude 14 3410 Intel Core i5-10210U 16GB DDR4 256GB SSD Intel UHD Graphics 620 FHD WIN10 серыйТип: ноутбук; Процессор: Intel Core i5-10210U; Диагональ экрана: 14""; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 16 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1.65 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-latitude-14-3410-intel-core-i5-10210u-16gb-ddr4-256gb-ssd-intel-uhd-graphics-620-fhd-win10-seryy
Ноутбук Acer Extensa EX215 AMD A6 9220E 4GB DDR4 256 GB SSD FHD Black + W10;33550 сом-1%33120 сом;"Ноутбук Acer Extensa EX215 AMD A6 9220E 4GB DDR4 256 GB SSD FHD Black + W10Операционная система DOS/Windows 10; процессор AMD A6 (2/2) 1600 MHz; видеоадаптер Radeon Graphics; экран 15.6"" TN 1920x1080; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-amd-a6-9220e-4gb-ddr4-256-gb-ssd-fhd-black-w10
Ноутбук Acer Extensa EX215 AMD A6 9220E 8GB DDR4 256 GB SSD FHD Black + W10;34860 сом-1%34420 сом;"Ноутбук Acer Extensa EX215 AMD A6 9220E 8GB DDR4 256 GB SSD FHD Black + W10Операционная система DOS/Windows 10; процессор AMD A6 (2/2) 1600 MHz; видеоадаптер Radeon Graphics; экран 15.6"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-amd-a6-9220e-8gb-ddr4-256-gb-ssd-fhd-black-w10
Ноутбук Acer Extensa EX215 AMD A6 9220E 4GB DDR4 128 GB SSD FHD DOS Black;32080 сом-1%31630 сом;"Ноутбук Acer Extensa EX215 AMD A6 9220E 4GB DDR4 128 GB SSD FHD DOS BlackОперационная система DOS; процессор AMD A6 (2/2) 1600 MHz; видеоадаптер Radeon Graphics; экран 15.6"" TN 1920x1080; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от 1.9...";На складе;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-amd-a6-9220e-4gb-ddr4-128-gb-ssd-fhd-dos-black
Ноутбук Asus X515M Intel Celeron N4020 8GB DDR4 128GB SSD DOS Grey;32510 сом;"Ноутбук Asus X515M Intel Celeron N4020 8GB DDR4 128GB SSD DOS GreyОперационная система DOS; процессор Intel Celeron (2/2) 1100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от 1.8...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515m-intel-celeron-n4020-8gb-ddr4-128gb-ssd-dos-grey
Ноутбук Acer Extensa EX215 AMD A6 9220E 8GB DDR4 128 GB SSD FHD DOS Black;33810 сом-2%33290 сом;"Ноутбук Acer Extensa EX215 AMD A6 9220E 8GB DDR4 128 GB SSD FHD DOS BlackОперационная система DOS; процессор AMD A6 (2/2) 1600 MHz; видеоадаптер Radeon Graphics; экран 15.6"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от 1.9...";На складе;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-amd-a6-9220e-8gb-ddr4-128-gb-ssd-fhd-dos-black
Ноутбук Acer Extensa EX215 AMD A6 9220E 4GB DDR4 480 GB SSD FHD DOS Black;33730 сом;"Ноутбук Acer Extensa EX215 AMD A6 9220E 4GB DDR4 480 GB SSD FHD DOS BlackОперационная система DOS; процессор AMD A6 (2/2) 1600 MHz; видеоадаптер Radeon Graphics; экран 15.6"" TN 1920x1080; оперативная память 4 GB DDR4; накопитель SSD 480 GB; DVDRW нет; вес от 1.9...";На складе;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-amd-a6-9220e-4gb-ddr4-480-gb-ssd-fhd-dos-black
Ноутбук Acer Extensa EX215 AMD A6 9220E 8GB DDR4 480 GB SSD FHD DOS Black;36340 сом;"Ноутбук Acer Extensa EX215 AMD A6 9220E 8GB DDR4 480 GB SSD FHD DOS BlackОперационная система DOS; процессор AMD A6 (2/2) 1600 MHz; видеоадаптер Radeon Graphics; экран 15.6"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 480 GB; DVDRW нет; вес от 1.9...";На складе;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-amd-a6-9220e-8gb-ddr4-480-gb-ssd-fhd-dos-black
Ноутбук Asus X515JA Intel Core i3-1005G1 4GB DDR4 256GB SSD W10 Slate Grey;45320 сом;"Ноутбук Asus X515JA Intel Core i3-1005G1 4GB DDR4 256GB SSD W10 Slate GreyОперационная система Windows 10; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" UWVA 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 256 Гб; DVDRW нет; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ja-intel-core-i3-1005g1-4gb-ddr4-256gb-ssd-w10-slate-grey
Ноутбук MSI GL65 Leopard 10SCSR-081XRU 9S7-16U822-081 Intel Core i7-10750H 8GB DDR4 1000GB HDD + 256 SSD Nvidai GTX GTX1650Ti 4GB FHD черный;109060 сом;"Ноутбук MSI GL65 Leopard 10SCSR-081XRU 9S7-16U822-081 Intel Core i7-10750H 8GB DDR4 1000GB HDD + 256 SSD Nvidai GTX GTX1650Ti 4GB FHD черныйТип: ноутбук; Процессор: Intel Core i7-10750H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GTX GTX1650 Ti; Объем оперативной памяти: 8Gb DDR4; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-msi-gl65-leopard-10scsr-081xru-9s7-16u822-081-intel-core-i7-10750h-8gb-ddr4-1000gb-hdd-256-ssd-nvidai-gtx-gtx1650ti-4gb-fhd-chernyy
Ноутбук Haier A1400EM Intel Celeron N3350 4GB DDR4 64GB EMMC W10 Grey;25140 сом;"Ноутбук Haier A1400EM Intel Celeron N3350 4GB DDR4 64GB EMMC W10 GreyОперационная система Windows 10; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб; вес от 1.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-haier-a1400em-intel-celeron-n3350-4gb-ddr4-64gb-emmc-w10-grey
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR4 128GB SSD Intel UHD Graphics 600 FHD DOS серый;31890 сом;"Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR4 128GB SSD Intel UHD Graphics 600 FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4120; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel UHD Graphics 600; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 128 GB; Вес: от 1.7 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-128gb-ssd-intel-uhd-graphics-600-fhd-dos-seryy
Ноутбук Haier U1500SM Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC W10 Blue;33200 сом;"Ноутбук Haier U1500SM Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC W10 BlueОперационная система Windows 10; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб + SSD 128 Гб; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-haier-u1500sm-intel-celeron-n4000-4gb-ddr4-128gb-ssd-64gb-emmc-w10-blue
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR4 480GB SSD Intel UHD Graphics 600 FHD DOS серый;35990 сом;"Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR4 480GB SSD Intel UHD Graphics 600 FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4120; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel UHD Graphics 600; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 480 GB; Вес: от 1.7 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-480gb-ssd-intel-uhd-graphics-600-fhd-dos-seryy
Ноутбука Dell Vostro 3400-5582 Intel Core i3-1115G4 8GB DDR4 128GB SSD Intel UHD Graphics FHD WIN10 черный;54880 сом;"Ноутбука Dell Vostro 3400-5582 Intel Core i3-1115G4 8GB DDR4 128GB SSD Intel UHD Graphics FHD WIN10 черныйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i3-1115G4; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 128 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuka-dell-vostro-3400-5582-intel-core-i3-1115g4-8gb-ddr4-128gb-ssd-intel-uhd-graphics-fhd-win10-chernyy
Ноутбук Haier U1500HD Intel Celeron N4000 4GB DDR4 1000GB HDD + 64GB EMMC DOS Black;30150 сом;"Ноутбук Haier U1500HD Intel Celeron N4000 4GB DDR4 1000GB HDD + 64GB EMMC DOS BlackОперационная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб + HDD 1000 Гб; вес от 1.6...";На складе;https://www.kivano.kg/product/view/noutbuk-haier-u1500hd-intel-celeron-n4000-4gb-ddr4-1000gb-hdd-64gb-emmc-dos-black
Ноутбук Haier U1500SD Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC DOS Blue;27170 сом;"Ноутбук Haier U1500SD Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC DOS BlueОперационная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб + SSD 128 Гб; вес от 1.6...";На складе;https://www.kivano.kg/product/view/noutbuk-haier-u1500sd-intel-celeron-n4000-4gb-ddr4-128gb-ssd-64gb-emmc-dos-blue
Ноутбук HP 15s-eq1280ur AMD Athlon Gold 3150U 4GB DDR4 256GB SSD AMD Radeon RX Vega 3 FHD DOS серый;35820 сом;"Ноутбук HP 15s-eq1280ur AMD Athlon Gold 3150U 4GB DDR4 256GB SSD AMD Radeon RX Vega 3 FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: AMD Athlon Gold 3150U; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: AMD Radeon RX Vega 3;Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1280ur-amd-athlon-gold-3150u-4gb-ddr4-256gb-ssd-amd-radeon-rx-vega-3-fhd-dos-seryy
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 120GB SSD DOS Black;36790 сом;"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 120GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель SSD 120 Гб; DVDRW нет; вес от 1.9 кг";На складе;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-56-intel-core-i3-1005g1-4gb-ddr4-120gb-ssd-dos-black
Ноутбук Asus X415J Intel Core i5-1035G1 4GB DDR4 1000GB HDD DOS Transparent Silver + W10;47490 сом;"Ноутбук Asus X415J Intel Core i5-1035G1 4GB DDR4 1000GB HDD DOS Transparent Silver + W10Операционная система DOS/Windows 10; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x415j-intel-core-i5-1035g1-4gb-ddr4-1000gb-hdd-dos-transparent-silver-w10
