Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;42620 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-256gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 5 3500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серый;40530 сом;"Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 5 3500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 5-3500U; Разрешение экрана: 1366x768 HD; Графический контроллер: Radeon Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR;Объем накопителя HDD: 1000 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15api-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-radeon-vega-8-graphics-hd-dos-seryy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 480GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;45920 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 480GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 480 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-480gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 128GB SSD Intel UHD Graphics FHD DOS Grey;52270 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 128GB SSD Intel UHD Graphics FHD DOS GreyТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1035G1; Разрешение экрана: 1920х1080 Full HD; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 128 Gb; Вес: от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i5-1035g1-8gb-ddr4-128gb-ssd-intel-uhd-graphics-fhd-dos-grey
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 128GB SSD FHD DOS Transparent Silver;56190 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 128GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-128gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 256GB SSD FHD DOS Transparent Silver;57050 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 256GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-256gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD DOS Transparent Silver;59660 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 128GB SSD FHD DOS Transparent Silver;62270 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 128GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB + SSD 128 GB;...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-128gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 256GB SSD FHD DOS Transparent Silver;64870 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 256GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB + SSD 256 GB;...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-256gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 512GB SSD FHD DOS Transparent Silver;67470 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 512GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB + SSD 512 GB;...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-512gb-ssd-fhd-dos-transparent-silver
Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристый;19950 сом;"Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристыйПроцессор: E-350
	Частота процессора: 1600 МГц
	Объем жесткого диска: 320 ГБ
	Диагональ экрана: 11.6 ""
	Видеокарта: ATI Radeon HD 6310M
	Вес: 1.46 кг
	Оптический привод: DVD нет
	Bluetooth: есть
	Wi-Fi: есть";На складе;https://www.kivano.kg/product/view/noutbuk-sony-vaio-vpc-yb2l1r-amd-fusion-e-350-2gb-ddr3-320gb-hdd-serebristyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;39660 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-128gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;43140 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-1000gb-hdd-128gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
